index,context,concept,condition
0,0.893363317465272,0.9498550528009375,context_aware
0,0.9185122725234414,0.9393434107588567,context_aware
0,0.9108623742864976,0.9626943878434941,context_aware
0,0.8816256585574062,0.9504481690956349,context_aware
0,0.9122549430726068,0.9422019192300911,context_aware
0,0.936627430229261,0.9190965689129088,context_aware
0,0.9513552621029141,0.9576090040454892,context_aware
0,0.8976518611094094,0.889126151076827,context_aware
0,0.8826019843750671,0.9145206453541824,context_aware
0,0.9116200193426244,0.9209201863732802,context_aware
0,0.841565746262611,0.8180166377113952,context_aware
0,0.793548658583163,0.7865940786317092,context_aware
0,0.8387643392325715,0.8402969364599164,context_aware
0,0.8166068662455228,0.8014889991815329,context_aware
0,0.8215786323702686,0.8018967126808824,context_aware
0,0.9056311316457502,0.8943237432562247,context_aware
0,0.9394035842170738,0.9219444590827104,context_aware
0,0.9052396252654482,0.8785077790541456,context_aware
0,0.92453498080311,0.923319493378727,context_aware
0,0.9308825722248102,0.8768254955953025,context_aware
0,0.8941789314111315,0.9153627532267146,context_aware
0,0.8777648148762268,0.9028580985323493,context_aware
0,0.8588518835250438,0.8888478686747641,context_aware
0,0.8813922988032826,0.8965616124502875,context_aware
0,0.8937833266633588,0.893438072820143,context_aware
0,0.8896233453554376,0.9146180789821218,context_aware
0,0.8441646464955836,0.8318113983218449,context_aware
0,0.8573827814586237,0.8936150412494303,context_aware
0,0.8479059959978156,0.907411893883822,context_aware
0,0.8657214330950568,0.8084502393965084,context_aware
1,0.9206831830340252,0.9206712595904214,context_aware
1,0.9386480533650549,0.9398158124666691,context_aware
1,0.9465274227950615,0.924292005106815,context_aware
1,0.9229096988989514,0.9074039922922904,context_aware
1,0.9302502424580665,0.9457617159470556,context_aware
1,0.9381796547228479,0.9377247142495947,context_aware
1,0.9561393634797426,0.959453486124922,context_aware
1,0.9048860830585909,0.8953955936909129,context_aware
1,0.886274009374416,0.8826599205711425,context_aware
1,0.9173794030056377,0.9112231768467917,context_aware
1,0.8381761025484887,0.8365416534341353,context_aware
1,0.7937878919997093,0.8030132926802996,context_aware
1,0.8354177232321978,0.8367667675539402,context_aware
1,0.8143456610257703,0.8162404832072466,context_aware
1,0.8172293425545193,0.8128377223489618,context_aware
