attributes,values,game_size,vocab_size_factor,n_epochs,batch_size,learning_rate,hidden_size,temp_update,temperature,train_loss,train_accuracy,test_loss,test_accuracy
3,16,10,3.0,60.0,64,0.0005,128,0.97,2.0,0.08409514278173447,0.9718625545501709,0.09482240676879883,0.9642610549926758
3,16,10,3.0,60.0,64,0.0005,128,0.99,2.0,0.14765958487987518,0.9405714869499207,0.1862405240535736,0.9296875
3,16,10,3.0,60.0,64,0.0005,256,0.97,1.0,0.1962842047214508,0.9264476895332336,0.2493174821138382,0.9118055701255798
3,16,10,3.0,60.0,64,0.0005,256,0.99,1.0,0.1227673813700676,0.95388263463974,0.21466360986232758,0.9407652616500854
3,16,10,3.0,60.0,64,0.0005,256,0.97,1.5,0.08113346993923187,0.975894570350647,0.15822604298591614,0.9623697996139526
3,16,10,3.0,60.0,64,0.0005,256,0.99,1.5,0.0604846216738224,0.9812045693397522,0.08741530030965805,0.9735449552536011
3,16,10,3.0,60.0,64,0.0005,256,0.97,2.0,0.07241341471672058,0.9740694165229797,0.09568196535110474,0.9688029885292053
3,16,10,3.0,60.0,64,0.0005,256,0.99,2.0,0.058408234268426895,0.9766309261322021,0.10685431957244873,0.9659090638160706
3,16,10,3.0,60.0,64,0.001,128,0.97,1.0,0.22536540031433105,0.9035952091217041,0.2680964767932892,0.8920138478279114
3,16,10,3.0,60.0,64,0.001,128,0.99,1.0,0.1229516863822937,0.9535959959030151,0.1773415058851242,0.9420139789581299
3,16,10,3.0,60.0,64,0.001,128,0.97,1.5,0.14895103871822357,0.9433252215385437,0.18207882344722748,0.9329392910003662
3,16,10,3.0,60.0,64,0.001,128,0.99,1.5,0.07126209139823914,0.973301112651825,0.12287578731775284,0.9594501256942749
3,16,10,3.0,60.0,64,0.001,128,0.97,2.0,0.05989796668291092,0.983124315738678,0.10014905035495758,0.9750859141349792
3,16,10,3.0,60.0,64,0.001,128,0.99,2.0,0.05150012671947479,0.9838752150535583,0.17030289769172668,0.9539520144462585
3,16,10,3.0,60.0,64,0.001,256,0.97,1.0,0.12006324529647827,0.9548153877258301,0.1894088089466095,0.9425268173217773
3,16,10,3.0,60.0,64,0.001,256,0.99,1.0,0.054161377251148224,0.9789435267448425,0.07345103472471237,0.9751798510551453
3,16,10,3.0,60.0,64,0.001,256,0.97,1.5,0.2133093625307083,0.9140641093254089,0.2887396514415741,0.8881104588508606
3,16,10,3.0,60.0,64,0.001,256,0.99,1.5,0.05015929788351059,0.9816945195198059,0.17272190749645233,0.9587031602859497
3,16,10,3.0,60.0,64,0.001,256,0.97,2.0,0.10729322582483292,0.9574821591377258,0.19540636241436005,0.9486110210418701
3,16,10,3.0,60.0,64,0.001,256,0.99,2.0,0.042679790407419205,0.9868327379226685,0.09765341132879257,0.9712105989456177
3,16,10,3.0,60.0,128,0.0005,128,0.97,1.0,0.23429161310195923,0.8985884189605713,0.23110660910606384,0.8966782689094543
3,16,10,3.0,60.0,128,0.0005,128,0.99,1.0,0.19635075330734253,0.9309006929397583,0.1972622126340866,0.9329350590705872
3,16,10,3.0,60.0,128,0.0005,128,0.97,1.5,0.21043331921100616,0.9191154837608337,0.2395137995481491,0.9087837934494019
3,16,10,3.0,60.0,128,0.0005,128,0.99,1.5,0.17528481781482697,0.9353163838386536,0.19836054742336273,0.9247424006462097
3,16,10,3.0,60.0,128,0.0005,128,0.97,2.0,0.16829527914524078,0.9390488862991333,0.15235847234725952,0.934615433216095
3,16,10,3.0,60.0,128,0.0005,128,0.99,2.0,0.19432035088539124,0.9235122799873352,0.21954351663589478,0.9076511263847351
3,16,10,3.0,60.0,128,0.0005,256,0.97,1.0,0.2037048637866974,0.9203216433525085,0.21069054305553436,0.9140841364860535
3,16,10,3.0,60.0,128,0.0005,256,0.99,1.0,0.16728979349136353,0.9295729398727417,0.21087734401226044,0.9189985394477844
3,16,10,3.0,60.0,128,0.0005,256,0.97,1.5,0.08621455729007721,0.9667936563491821,0.11884036660194397,0.9599334597587585
3,16,10,3.0,60.0,128,0.0005,256,0.99,1.5,0.13880158960819244,0.9496335387229919,0.22201555967330933,0.9255642294883728
3,16,10,3.0,60.0,128,0.0005,256,0.97,2.0,0.19637231528759003,0.9233015775680542,0.21238094568252563,0.912811279296875
3,16,10,3.0,60.0,128,0.0005,256,0.99,2.0,0.07809995859861374,0.9730592966079712,0.12719593942165375,0.9593858122825623
3,16,10,3.0,60.0,128,0.001,128,0.97,1.0,0.14717014133930206,0.9524360299110413,0.17519420385360718,0.9467014670372009
3,16,10,3.0,60.0,128,0.001,128,0.99,1.0,0.11594067513942719,0.9616503119468689,0.14785009622573853,0.9483107328414917
3,16,10,3.0,60.0,128,0.001,128,0.97,1.5,0.1880115568637848,0.9336372017860413,0.22334568202495575,0.9201364517211914
3,16,10,3.0,60.0,128,0.001,128,0.99,1.5,0.1341249644756317,0.948782205581665,0.1568247526884079,0.9403780102729797
3,16,10,3.0,60.0,128,0.001,128,0.97,2.0,0.15137188136577606,0.942366361618042,0.27254146337509155,0.9141343235969543
3,16,10,3.0,60.0,128,0.001,128,0.99,2.0,0.0856601670384407,0.9701707363128662,0.1515665501356125,0.9522185325622559
3,16,10,3.0,60.0,128,0.001,256,0.97,1.0,0.20950552821159363,0.9158472418785095,0.27960526943206787,0.9030511975288391
3,16,10,3.0,60.0,128,0.001,256,0.99,1.0,0.2383115440607071,0.9040967226028442,0.26330581307411194,0.8908108472824097
3,16,10,3.0,60.0,128,0.001,256,0.97,1.5,0.2193724364042282,0.9068201780319214,0.2615574896335602,0.8819525837898254
3,16,10,3.0,60.0,128,0.001,256,0.99,1.5,0.6832465529441833,0.5442036986351013,0.6843056678771973,0.5445803999900818
3,16,10,3.0,60.0,128,0.001,256,0.97,2.0,0.16426949203014374,0.931261420249939,0.19066449999809265,0.9189003109931946
3,16,10,3.0,60.0,128,0.001,256,0.99,2.0,0.040426503866910934,0.9877582788467407,0.10416348278522491,0.974911093711853
5,4,10,3.0,60.0,32,0.0005,128,0.97,1.0,0.10307956486940384,0.9638677835464478,0.1553996205329895,0.9460854530334473
5,4,10,3.0,60.0,32,0.0005,128,0.99,1.0,0.11430420726537704,0.9557422399520874,0.16030177474021912,0.9520832896232605
5,4,10,3.0,60.0,32,0.0005,128,0.97,1.5,0.11066301167011261,0.9625564217567444,0.19907717406749725,0.9478040933609009
5,4,10,3.0,60.0,32,0.0005,128,0.99,1.5,0.15382638573646545,0.9440186023712158,0.22528015077114105,0.9204860329627991
5,4,10,3.0,60.0,32,0.0005,128,0.97,2.0,0.16779695451259613,0.9327852129936218,0.20707008242607117,0.9290210008621216
5,4,10,3.0,60.0,32,0.0005,128,0.99,2.0,0.09282750636339188,0.966754674911499,0.16464412212371826,0.9436397552490234
5,4,10,3.0,60.0,32,0.0005,256,0.97,1.0,0.10454166680574417,0.9627178311347961,0.08954339474439621,0.9710701107978821
5,4,10,3.0,60.0,32,0.0005,256,0.99,1.0,0.13438573479652405,0.9487703442573547,0.182992085814476,0.9340909123420715
5,4,10,3.0,60.0,32,0.0005,256,0.97,1.5,0.04806221276521683,0.9854230880737305,0.0783354714512825,0.9791233539581299
5,4,10,3.0,60.0,32,0.0005,256,0.99,1.5,0.030831361189484596,0.9899041652679443,0.09202460944652557,0.975618302822113
5,4,10,3.0,60.0,32,0.0005,256,0.97,2.0,0.07101546227931976,0.9751020073890686,0.12005812674760818,0.9704394936561584
5,4,10,3.0,60.0,32,0.0005,256,0.99,2.0,0.018328500911593437,0.99537593126297,0.15406501293182373,0.9724637269973755
5,4,10,3.0,60.0,32,0.001,128,0.97,1.0,0.14058122038841248,0.9494815468788147,0.16498658061027527,0.9463919401168823
5,4,10,3.0,60.0,32,0.001,128,0.99,1.0,0.12081258744001389,0.9533560872077942,0.1980191320180893,0.9366907477378845
5,4,10,3.0,60.0,32,0.001,128,0.97,1.5,0.04575891047716141,0.9857550859451294,0.12483026087284088,0.9690647125244141
5,4,10,3.0,60.0,32,0.001,128,0.99,1.5,0.14186525344848633,0.9452791810035706,0.23835760354995728,0.9160143136978149
5,4,10,3.0,60.0,32,0.001,128,0.97,2.0,0.03831055760383606,0.9874100685119629,0.09843182563781738,0.9734375476837158
5,4,10,3.0,60.0,32,0.001,128,0.99,2.0,0.01797056384384632,0.9960755705833435,0.10396112501621246,0.9720280766487122
5,4,10,3.0,60.0,32,0.001,256,0.97,1.0,0.6814561486244202,0.5510356426239014,0.6896231174468994,0.5030928254127502
5,4,10,3.0,60.0,32,0.001,256,0.99,1.0,0.6858648657798767,0.5543503761291504,0.6812168955802917,0.5651245713233948
5,4,10,3.0,60.0,32,0.001,256,0.97,1.5,0.10417824983596802,0.9657812714576721,0.16253863275051117,0.947260320186615
5,4,10,3.0,60.0,32,0.001,256,0.99,1.5,0.036122653633356094,0.987503170967102,0.1138799712061882,0.9780436754226685
5,4,10,3.0,60.0,32,0.001,256,0.97,2.0,0.06883344054222107,0.9755071997642517,0.11297451704740524,0.968074381351471
5,4,10,3.0,60.0,32,0.001,256,0.99,2.0,0.006778350565582514,0.9977657794952393,0.04249707981944084,0.9908933639526367
5,4,10,3.0,60.0,64,0.0005,128,0.97,1.0,0.13556857407093048,0.9468140006065369,0.1785440295934677,0.9336298108100891
5,4,10,3.0,60.0,64,0.0005,128,0.99,1.0,0.13116371631622314,0.9518666863441467,0.18335598707199097,0.9404436349868774
5,4,10,3.0,60.0,64,0.0005,128,0.97,1.5,0.13931171596050262,0.9491650462150574,0.25556236505508423,0.916151225566864
5,4,10,3.0,60.0,64,0.0005,128,0.99,1.5,0.15667781233787537,0.9398448467254639,0.19111321866512299,0.9347221851348877
5,4,10,3.0,60.0,64,0.0005,128,0.97,2.0,0.20510901510715485,0.9170671105384827,0.24131827056407928,0.9041367173194885
5,4,10,3.0,60.0,64,0.0005,128,0.99,2.0,0.11124373227357864,0.9586653709411621,0.1762998402118683,0.9373666644096375
5,4,10,3.0,60.0,64,0.0005,256,0.97,1.0,0.17881904542446136,0.9291124939918518,0.2626062333583832,0.910295307636261
5,4,10,3.0,60.0,64,0.0005,256,0.99,1.0,0.04829929769039154,0.982389509677887,0.05655144527554512,0.9849687814712524
5,4,10,3.0,60.0,64,0.0005,256,0.97,1.5,0.06583050638437271,0.9783172011375427,0.11515539139509201,0.9680635929107666
5,4,10,3.0,60.0,64,0.0005,256,0.99,1.5,0.024566926062107086,0.9925176501274109,0.05302442982792854,0.9869416356086731
5,4,10,3.0,60.0,64,0.0005,256,0.97,2.0,0.15174071490764618,0.9393442869186401,0.23789358139038086,0.9215034246444702
5,4,10,3.0,60.0,64,0.0005,256,0.99,2.0,0.03351151570677757,0.989936351776123,0.13960905373096466,0.9618054628372192
5,4,10,3.0,60.0,64,0.001,128,0.97,1.0,0.1413828730583191,0.9477238655090332,0.17135338485240936,0.9369257688522339
5,4,10,3.0,60.0,64,0.001,128,0.99,1.0,0.10913332551717758,0.958572506904602,0.15708041191101074,0.9491409063339233
5,4,10,3.0,60.0,64,0.001,128,0.97,1.5,0.09902665764093399,0.9647441506385803,0.15148985385894775,0.9496377110481262
5,4,10,3.0,60.0,64,0.001,128,0.99,1.5,0.0942024439573288,0.966927707195282,0.13414549827575684,0.9588736295700073
5,4,10,3.0,60.0,64,0.001,128,0.97,2.0,0.10618342459201813,0.9603344202041626,0.1478966474533081,0.9482013583183289
5,4,10,3.0,60.0,64,0.001,128,0.99,2.0,0.08246085047721863,0.9713721871376038,0.12939903140068054,0.9542229175567627
5,4,10,3.0,60.0,64,0.001,256,0.97,1.0,0.6827104091644287,0.5671116709709167,0.6807190775871277,0.5617753267288208
5,4,10,3.0,60.0,64,0.001,256,0.99,1.0,0.312723308801651,0.8598100543022156,0.331301748752594,0.8435316681861877
5,4,10,3.0,60.0,64,0.001,256,0.97,1.5,0.10564276576042175,0.9622978568077087,0.14115290343761444,0.9506873488426208
5,4,10,3.0,60.0,64,0.001,256,0.99,1.5,0.012563597410917282,0.9974586367607117,0.026715010404586792,0.9961130619049072
5,4,10,3.0,60.0,64,0.001,256,0.97,2.0,0.04088960587978363,0.9858336448669434,0.13346441090106964,0.9710246920585632
5,4,10,3.0,60.0,64,0.001,256,0.99,2.0,0.03505919128656387,0.9884495735168457,0.11412479728460312,0.9692954421043396
5,4,10,3.0,60.0,128,0.0005,128,0.97,1.0,0.1762014776468277,0.9376192688941956,0.24922232329845428,0.921024739742279
5,4,10,3.0,60.0,128,0.0005,128,0.99,1.0,0.19778357446193695,0.9256546497344971,0.2091781347990036,0.9297782778739929
5,4,10,3.0,60.0,128,0.0005,128,0.97,1.5,0.2371077686548233,0.8987370133399963,0.2828250527381897,0.8951437473297119
5,4,10,3.0,60.0,128,0.0005,128,0.99,1.5,0.20229358971118927,0.9215302467346191,0.2074182629585266,0.916608452796936
5,4,10,3.0,60.0,128,0.0005,128,0.97,2.0,0.20112338662147522,0.9177988171577454,0.22704657912254333,0.9106006622314453
5,4,10,3.0,60.0,128,0.0005,128,0.99,2.0,0.1155058741569519,0.9600794911384583,0.17873358726501465,0.9375874996185303
5,4,10,3.0,60.0,128,0.0005,256,0.97,1.0,0.18909713625907898,0.9239116907119751,0.27097901701927185,0.8872097730636597
5,4,10,3.0,60.0,128,0.0005,256,0.99,1.0,0.1383085697889328,0.9495752453804016,0.19004571437835693,0.9353147149085999
5,4,10,3.0,60.0,128,0.0005,256,0.97,1.5,0.1184404194355011,0.9544430375099182,0.16761618852615356,0.9319788217544556
5,4,10,3.0,60.0,128,0.0005,256,0.99,1.5,0.13356612622737885,0.9513151049613953,0.16762256622314453,0.9390033483505249
5,4,10,3.0,60.0,128,0.0005,256,0.97,2.0,0.08647999912500381,0.9688973426818848,0.10392924398183823,0.9619045853614807
5,4,10,3.0,60.0,128,0.0005,256,0.99,2.0,0.07390138506889343,0.9732488393783569,0.18993715941905975,0.9562945365905762
5,4,10,3.0,60.0,128,0.001,128,0.97,1.0,0.17513509094715118,0.9348957538604736,0.19793705642223358,0.9276450276374817
5,4,10,3.0,60.0,128,0.001,128,0.99,1.0,0.2136760801076889,0.9141621589660645,0.23955222964286804,0.9057290554046631
5,4,10,3.0,60.0,128,0.001,128,0.97,1.5,0.15058408677577972,0.9383959174156189,0.16705670952796936,0.9338129758834839
