game_nr,object,fixed indices,context condition,message
55,[3. 2. 3.],[0. 1. 0.],0,"[5, 15, 12, 0]"
55,[0. 2. 3.],[0. 1. 0.],0,"[5, 15, 12, 0]"
785,[3. 2. 2.],[0. 1. 0.],0,"[5, 15, 12, 0]"
102,[1. 2. 0.],[0. 1. 0.],0,"[5, 15, 12, 0]"
640,[0. 2. 2.],[0. 1. 0.],0,"[5, 15, 12, 0]"
785,[1. 2. 1.],[0. 1. 0.],0,"[5, 15, 12, 0]"
55,[0. 2. 2.],[0. 1. 0.],0,"[5, 15, 12, 0]"
571,[0. 2. 3.],[0. 1. 0.],0,"[5, 15, 12, 0]"
640,[2. 2. 1.],[0. 1. 0.],0,"[5, 15, 12, 0]"
102,[2. 2. 0.],[0. 1. 0.],0,"[5, 15, 12, 0]"
1651,[0. 2. 3.],[0. 1. 0.],0,"[5, 15, 12, 0]"
571,[2. 2. 3.],[0. 1. 0.],0,"[5, 15, 12, 0]"
640,[1. 2. 0.],[0. 1. 0.],0,"[5, 15, 12, 0]"
55,[1. 2. 2.],[0. 1. 0.],0,"[5, 15, 12, 0]"
785,[0. 2. 0.],[0. 1. 0.],0,"[5, 15, 12, 0]"
55,[3. 2. 1.],[0. 1. 0.],0,"[5, 15, 12, 0]"
785,[2. 2. 2.],[0. 1. 0.],0,"[5, 15, 12, 0]"
785,[3. 2. 0.],[0. 1. 0.],0,"[5, 15, 12, 0]"
1111,[3. 2. 0.],[0. 1. 0.],0,"[5, 15, 12, 0]"
785,[1. 2. 2.],[0. 1. 0.],0,"[5, 15, 12, 0]"
