game_nr,object,fixed indices,context condition,message
39,[2. 3. 1.],[1. 1. 1.],1,"[13, 6, 3, 0]"
500,[2. 3. 1.],[1. 1. 1.],1,"[6, 13, 10, 0]"
729,[2. 3. 1.],[1. 1. 1.],0,"[6, 13, 10, 0]"
1257,[2. 3. 1.],[1. 1. 1.],0,"[6, 13, 10, 0]"
89,[2. 3. 1.],[1. 1. 1.],0,"[6, 13, 10, 0]"
1442,[2. 3. 1.],[1. 1. 1.],1,"[6, 13, 10, 0]"
501,[2. 3. 1.],[1. 1. 1.],0,"[6, 13, 10, 0]"
1043,[2. 3. 1.],[1. 1. 1.],0,"[6, 13, 10, 0]"
1072,[2. 3. 1.],[1. 1. 1.],2,"[13, 10, 13, 0]"
330,[2. 3. 1.],[1. 1. 1.],0,"[6, 13, 10, 0]"
687,[2. 3. 1.],[1. 1. 1.],2,"[13, 10, 13, 0]"
21,[2. 3. 1.],[1. 1. 1.],1,"[6, 13, 10, 0]"
7,[2. 3. 1.],[1. 1. 1.],1,"[6, 13, 10, 0]"
1442,[2. 3. 1.],[1. 1. 1.],1,"[6, 13, 10, 0]"
729,[2. 3. 1.],[1. 1. 1.],0,"[6, 13, 10, 0]"
728,[2. 3. 1.],[1. 1. 1.],0,"[6, 13, 10, 0]"
1043,[2. 3. 1.],[1. 1. 1.],0,"[6, 13, 10, 0]"
729,[2. 3. 1.],[1. 1. 1.],0,"[6, 13, 10, 0]"
168,[2. 3. 1.],[1. 1. 1.],2,"[13, 10, 13, 0]"
728,[2. 3. 1.],[1. 1. 1.],0,"[6, 13, 10, 0]"
