game_nr,object,fixed indices,context condition,message
523,[2. 3. 3.],[0. 1. 0.],0,"[11, 2, 1, 0]"
214,[2. 3. 1.],[0. 1. 0.],0,"[11, 2, 2, 0]"
1725,[2. 3. 1.],[0. 1. 0.],0,"[11, 2, 2, 0]"
1545,[0. 3. 2.],[0. 1. 0.],0,"[2, 2, 11, 0]"
376,[0. 3. 3.],[0. 1. 0.],0,"[11, 2, 2, 0]"
523,[0. 3. 3.],[0. 1. 0.],0,"[11, 2, 1, 0]"
339,[3. 3. 0.],[0. 1. 0.],0,"[11, 2, 2, 0]"
376,[2. 3. 2.],[0. 1. 0.],0,"[11, 2, 2, 0]"
1545,[3. 3. 1.],[0. 1. 0.],0,"[2, 2, 11, 0]"
214,[0. 3. 0.],[0. 1. 0.],0,"[11, 2, 2, 0]"
376,[2. 3. 0.],[0. 1. 0.],0,"[11, 2, 2, 0]"
790,[3. 3. 1.],[0. 1. 0.],0,"[11, 2, 2, 0]"
629,[0. 3. 1.],[0. 1. 0.],0,"[11, 1, 2, 0]"
339,[0. 3. 1.],[0. 1. 0.],0,"[11, 2, 2, 0]"
629,[2. 3. 1.],[0. 1. 0.],0,"[11, 1, 2, 0]"
1545,[2. 3. 0.],[0. 1. 0.],0,"[2, 2, 11, 0]"
1725,[1. 3. 3.],[0. 1. 0.],0,"[11, 2, 2, 0]"
1545,[2. 3. 3.],[0. 1. 0.],0,"[2, 2, 11, 0]"
523,[1. 3. 1.],[0. 1. 0.],0,"[11, 2, 1, 0]"
214,[3. 3. 1.],[0. 1. 0.],0,"[11, 2, 2, 0]"
