game_nr,object,fixed indices,context condition,message
6106,[0. 1. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
6106,[6. 7. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
7779,[7. 3. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
7779,[3. 7. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
6106,[5. 4. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
6106,[7. 5. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
6721,[7. 5. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
11177,[7. 7. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
11177,[1. 0. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
11177,[7. 1. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
11177,[3. 5. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
8224,[1. 1. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
8224,[1. 3. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
11177,[1. 6. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
8224,[0. 6. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
8224,[1. 2. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
6356,[5. 7. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
6106,[7. 7. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
8224,[0. 3. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
11177,[2. 1. 6.],[0. 0. 1.],0,"[8, 24, 24, 0]"
