game_nr,object,fixed indices,context condition,message
666,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
104,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
686,[0. 2. 1.],[1. 1. 1.],2,"[2, 2, 2, 0]"
945,[0. 2. 1.],[1. 1. 1.],1,"[2, 2, 2, 0]"
1156,[0. 2. 1.],[1. 1. 1.],2,"[2, 2, 2, 0]"
104,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
1096,[0. 2. 1.],[1. 1. 1.],1,"[2, 2, 2, 0]"
1096,[0. 2. 1.],[1. 1. 1.],1,"[2, 2, 2, 0]"
1156,[0. 2. 1.],[1. 1. 1.],2,"[2, 2, 2, 0]"
686,[0. 2. 1.],[1. 1. 1.],2,"[2, 2, 2, 0]"
1059,[0. 2. 1.],[1. 1. 1.],1,"[2, 2, 2, 0]"
104,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
908,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
1096,[0. 2. 1.],[1. 1. 1.],1,"[2, 2, 2, 0]"
149,[0. 2. 1.],[1. 1. 1.],1,"[2, 2, 2, 0]"
551,[0. 2. 1.],[1. 1. 1.],2,"[2, 2, 2, 0]"
686,[0. 2. 1.],[1. 1. 1.],2,"[2, 2, 2, 0]"
551,[0. 2. 1.],[1. 1. 1.],2,"[2, 2, 2, 0]"
87,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
766,[0. 2. 1.],[1. 1. 1.],0,"[2, 2, 2, 0]"
