game_nr,object,fixed indices,context condition,message
647,[2. 3. 1.],[1. 0. 1.],1,"[6, 13, 3, 0]"
283,[2. 1. 1.],[1. 0. 1.],1,"[6, 13, 3, 0]"
647,[2. 3. 1.],[1. 0. 1.],1,"[6, 13, 3, 0]"
848,[2. 3. 1.],[1. 0. 1.],0,"[6, 13, 3, 0]"
1462,[2. 3. 1.],[1. 0. 1.],0,"[6, 13, 3, 0]"
1470,[2. 2. 1.],[1. 0. 1.],0,"[6, 13, 3, 0]"
647,[2. 0. 1.],[1. 0. 1.],1,"[6, 13, 3, 0]"
1340,[2. 3. 1.],[1. 0. 1.],1,"[6, 13, 3, 0]"
1340,[2. 1. 1.],[1. 0. 1.],1,"[6, 13, 3, 0]"
647,[2. 3. 1.],[1. 0. 1.],1,"[6, 13, 3, 0]"
1340,[2. 1. 1.],[1. 0. 1.],1,"[6, 13, 3, 0]"
283,[2. 1. 1.],[1. 0. 1.],1,"[6, 13, 3, 0]"
38,[2. 2. 1.],[1. 0. 1.],0,"[6, 13, 3, 0]"
575,[2. 1. 1.],[1. 0. 1.],0,"[6, 13, 3, 0]"
406,[2. 0. 1.],[1. 0. 1.],1,"[6, 13, 3, 0]"
575,[2. 0. 1.],[1. 0. 1.],0,"[6, 13, 3, 0]"
417,[2. 1. 1.],[1. 0. 1.],0,"[6, 13, 3, 0]"
312,[2. 0. 1.],[1. 0. 1.],1,"[6, 13, 3, 0]"
283,[2. 0. 1.],[1. 0. 1.],1,"[6, 13, 3, 0]"
575,[2. 2. 1.],[1. 0. 1.],0,"[6, 13, 3, 0]"
