game_nr,object,fixed indices,context condition,message
379,[0. 2. 1.],[1. 0. 1.],0,"[2, 14, 14, 0]"
933,[0. 3. 1.],[1. 0. 1.],1,"[2, 14, 14, 0]"
1525,[0. 2. 1.],[1. 0. 1.],1,"[2, 14, 14, 0]"
244,[0. 2. 1.],[1. 0. 1.],0,"[2, 14, 14, 0]"
1436,[0. 3. 1.],[1. 0. 1.],1,"[2, 14, 14, 0]"
498,[0. 2. 1.],[1. 0. 1.],0,"[2, 14, 14, 0]"
1551,[0. 3. 1.],[1. 0. 1.],0,"[2, 14, 14, 0]"
933,[0. 3. 1.],[1. 0. 1.],1,"[2, 14, 14, 0]"
1515,[0. 0. 1.],[1. 0. 1.],1,"[2, 14, 14, 0]"
379,[0. 0. 1.],[1. 0. 1.],0,"[2, 14, 14, 0]"
900,[0. 2. 1.],[1. 0. 1.],0,"[2, 14, 14, 0]"
834,[0. 2. 1.],[1. 0. 1.],0,"[2, 14, 14, 0]"
379,[0. 1. 1.],[1. 0. 1.],0,"[2, 14, 14, 0]"
933,[0. 3. 1.],[1. 0. 1.],1,"[2, 14, 14, 0]"
1240,[0. 2. 1.],[1. 0. 1.],1,"[2, 14, 14, 0]"
1240,[0. 2. 1.],[1. 0. 1.],1,"[2, 14, 14, 0]"
1436,[0. 3. 1.],[1. 0. 1.],1,"[2, 14, 14, 0]"
713,[0. 0. 1.],[1. 0. 1.],0,"[2, 14, 14, 0]"
900,[0. 0. 1.],[1. 0. 1.],0,"[2, 14, 14, 0]"
1551,[0. 3. 1.],[1. 0. 1.],0,"[2, 14, 14, 0]"
