game_nr,object,fixed indices,context condition,message
1494,[0. 2. 1.],[0. 0. 1.],0,"[3, 3, 3, 0]"
194,[0. 1. 1.],[0. 0. 1.],0,"[3, 3, 2, 0]"
194,[1. 2. 1.],[0. 0. 1.],0,"[3, 3, 2, 0]"
1494,[0. 3. 1.],[0. 0. 1.],0,"[3, 3, 3, 0]"
951,[1. 2. 1.],[0. 0. 1.],0,"[3, 3, 2, 0]"
951,[3. 1. 1.],[0. 0. 1.],0,"[3, 3, 2, 0]"
1494,[1. 2. 1.],[0. 0. 1.],0,"[3, 3, 3, 0]"
665,[0. 0. 1.],[0. 0. 1.],0,"[3, 3, 2, 0]"
951,[3. 2. 1.],[0. 0. 1.],0,"[3, 3, 2, 0]"
951,[2. 1. 1.],[0. 0. 1.],0,"[3, 3, 2, 0]"
194,[1. 3. 1.],[0. 0. 1.],0,"[3, 3, 2, 0]"
665,[2. 0. 1.],[0. 0. 1.],0,"[3, 3, 2, 0]"
1389,[3. 1. 1.],[0. 0. 1.],0,"[3, 3, 2, 0]"
1494,[2. 0. 1.],[0. 0. 1.],0,"[3, 3, 3, 0]"
227,[3. 2. 1.],[0. 0. 1.],0,"[3, 2, 3, 0]"
227,[1. 3. 1.],[0. 0. 1.],0,"[3, 2, 3, 0]"
951,[3. 0. 1.],[0. 0. 1.],0,"[3, 3, 2, 0]"
665,[1. 3. 1.],[0. 0. 1.],0,"[3, 3, 2, 0]"
194,[0. 2. 1.],[0. 0. 1.],0,"[3, 3, 2, 0]"
194,[3. 3. 1.],[0. 0. 1.],0,"[3, 3, 2, 0]"
