game_nr,object,fixed indices,context condition,message
1129,[2. 3. 1.],[1. 1. 0.],0,"[6, 13, 10, 0]"
666,[2. 3. 3.],[1. 1. 0.],1,"[6, 13, 10, 0]"
1129,[2. 3. 0.],[1. 1. 0.],0,"[6, 13, 10, 0]"
1129,[2. 3. 0.],[1. 1. 0.],0,"[6, 13, 10, 0]"
253,[2. 3. 0.],[1. 1. 0.],0,"[13, 6, 13, 0]"
788,[2. 3. 1.],[1. 1. 0.],0,"[6, 13, 6, 0]"
497,[2. 3. 2.],[1. 1. 0.],0,"[6, 13, 6, 0]"
918,[2. 3. 1.],[1. 1. 0.],1,"[6, 13, 10, 0]"
78,[2. 3. 0.],[1. 1. 0.],0,"[6, 13, 10, 0]"
1636,[2. 3. 0.],[1. 1. 0.],1,"[13, 6, 10, 0]"
497,[2. 3. 3.],[1. 1. 0.],0,"[6, 13, 6, 0]"
921,[2. 3. 3.],[1. 1. 0.],1,"[6, 13, 10, 0]"
1327,[2. 3. 3.],[1. 1. 0.],1,"[6, 13, 10, 0]"
0,[2. 3. 2.],[1. 1. 0.],0,"[6, 13, 10, 0]"
0,[2. 3. 3.],[1. 1. 0.],0,"[6, 13, 10, 0]"
1582,[2. 3. 1.],[1. 1. 0.],1,"[6, 13, 10, 0]"
1327,[2. 3. 1.],[1. 1. 0.],1,"[6, 13, 10, 0]"
1129,[2. 3. 3.],[1. 1. 0.],0,"[6, 13, 10, 0]"
819,[2. 3. 0.],[1. 1. 0.],0,"[13, 6, 6, 0]"
1636,[2. 3. 3.],[1. 1. 0.],1,"[13, 6, 10, 0]"
