game_nr,object,fixed indices,context condition,message
589,[3. 2. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
589,[3. 1. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
271,[2. 3. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
1705,[2. 0. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
206,[0. 0. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
1705,[0. 3. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
1413,[0. 3. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
1413,[0. 0. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
94,[0. 3. 1.],[0. 0. 1.],0,"[14, 14, 5, 0]"
1413,[3. 1. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
1705,[1. 0. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
94,[0. 0. 1.],[0. 0. 1.],0,"[14, 14, 5, 0]"
271,[1. 3. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
1413,[1. 3. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
1413,[2. 0. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
1413,[3. 2. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
1705,[2. 1. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
1595,[3. 0. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
1705,[0. 1. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
1705,[2. 2. 1.],[0. 0. 1.],0,"[1, 14, 5, 0]"
