game_nr,object,fixed indices,context condition,message
1220,[5. 7. 3.],[1. 1. 0.],0,"[11, 11, 4, 0]"
3407,[5. 7. 0.],[1. 1. 0.],0,"[11, 11, 4, 0]"
545,[5. 7. 0.],[1. 1. 0.],1,"[11, 11, 2, 0]"
7136,[5. 7. 5.],[1. 1. 0.],1,"[11, 11, 4, 0]"
8881,[5. 7. 3.],[1. 1. 0.],1,"[11, 11, 4, 0]"
2761,[5. 7. 3.],[1. 1. 0.],1,"[11, 11, 2, 0]"
1641,[5. 7. 6.],[1. 1. 0.],0,"[11, 11, 4, 0]"
1154,[5. 7. 1.],[1. 1. 0.],0,"[11, 11, 4, 0]"
3407,[5. 7. 2.],[1. 1. 0.],0,"[11, 11, 4, 0]"
2761,[5. 7. 0.],[1. 1. 0.],1,"[11, 11, 2, 0]"
545,[5. 7. 7.],[1. 1. 0.],1,"[11, 11, 2, 0]"
1220,[5. 7. 4.],[1. 1. 0.],0,"[11, 11, 4, 0]"
1154,[5. 7. 6.],[1. 1. 0.],0,"[11, 11, 4, 0]"
2761,[5. 7. 0.],[1. 1. 0.],1,"[11, 11, 2, 0]"
10936,[5. 7. 4.],[1. 1. 0.],1,"[11, 11, 11, 0]"
1154,[5. 7. 1.],[1. 1. 0.],0,"[11, 11, 4, 0]"
5705,[5. 7. 4.],[1. 1. 0.],0,"[11, 11, 4, 0]"
7831,[5. 7. 5.],[1. 1. 0.],1,"[11, 11, 2, 0]"
7136,[5. 7. 0.],[1. 1. 0.],1,"[11, 11, 4, 0]"
545,[5. 7. 2.],[1. 1. 0.],1,"[11, 11, 2, 0]"
