game_nr,object,fixed indices,context condition,message
717,[3. 2. 1.],[1. 1. 1.],1,"[13, 15, 15, 0]"
1094,[3. 2. 1.],[1. 1. 1.],0,"[13, 15, 15, 0]"
1257,[3. 2. 1.],[1. 1. 1.],1,"[13, 15, 15, 0]"
1014,[3. 2. 1.],[1. 1. 1.],1,"[13, 15, 15, 0]"
669,[3. 2. 1.],[1. 1. 1.],1,"[13, 15, 15, 0]"
1094,[3. 2. 1.],[1. 1. 1.],0,"[13, 15, 15, 0]"
176,[3. 2. 1.],[1. 1. 1.],2,"[13, 15, 15, 0]"
278,[3. 2. 1.],[1. 1. 1.],0,"[13, 15, 15, 0]"
338,[3. 2. 1.],[1. 1. 1.],1,"[13, 15, 15, 0]"
1014,[3. 2. 1.],[1. 1. 1.],1,"[13, 15, 15, 0]"
833,[3. 2. 1.],[1. 1. 1.],0,"[13, 15, 15, 0]"
1257,[3. 2. 1.],[1. 1. 1.],1,"[13, 15, 15, 0]"
1777,[3. 2. 1.],[1. 1. 1.],1,"[13, 15, 15, 0]"
1094,[3. 2. 1.],[1. 1. 1.],0,"[13, 15, 15, 0]"
1767,[3. 2. 1.],[1. 1. 1.],0,"[13, 15, 15, 0]"
1767,[3. 2. 1.],[1. 1. 1.],0,"[13, 15, 15, 0]"
1767,[3. 2. 1.],[1. 1. 1.],0,"[13, 15, 15, 0]"
24,[3. 2. 1.],[1. 1. 1.],0,"[13, 15, 15, 0]"
24,[3. 2. 1.],[1. 1. 1.],0,"[13, 15, 15, 0]"
24,[3. 2. 1.],[1. 1. 1.],0,"[13, 15, 15, 0]"
